V1,V2,P1,P2,timestamp
2037,2036,0,0,2025-09-07 00:29:32
2039,2031,0,0,2025-09-07 00:29:32
2036,2026,0,0,2025-09-07 00:29:32
2035,2026,0,0,2025-09-07 00:29:32
2030,2026,0,0,2025-09-07 00:29:32
2033,2019,0,0,2025-09-07 00:29:32
2031,2016,0,0,2025-09-07 00:29:32
2032,2009,0,0,2025-09-07 00:29:32
2033,2010,0,0,2025-09-07 00:29:32
2032,2006,0,0,2025-09-07 00:29:32
2030,2007,0,0,2025-09-07 00:29:32
2033,2002,0,0,2025-09-07 00:29:32
2035,1996,0,0,2025-09-07 00:29:32
2035,1997,0,0,2025-09-07 00:29:32
2033,1994,0,0,2025-09-07 00:29:32
2032,1995,0,0,2025-09-07 00:29:32
2034,1992,0,0,2025-09-07 00:29:32
2035,1989,0,0,2025-09-07 00:29:32
2039,1986,0,0,2025-09-07 00:29:32
2044,1989,0,0,2025-09-07 00:29:32
2050,1986,0,0,2025-09-07 00:29:32
2043,1988,0,0,2025-09-07 00:29:32
2046,1989,0,0,2025-09-07 00:29:32
2039,1989,0,0,2025-09-07 00:29:32
2043,1987,0,0,2025-09-07 00:29:32
2050,1985,0,0,2025-09-07 00:29:32
2041,1986,0,0,2025-09-07 00:29:32
2030,1983,0,0,2025-09-07 00:29:32
2021,1972,0,0,2025-09-07 00:29:32
2003,1974,0,0,2025-09-07 00:29:32
2003,1971,0,0,2025-09-07 00:29:32
1991,1972,0,0,2025-09-07 00:29:32
1989,1973,0,0,2025-09-07 00:29:32
1989,1967,0,0,2025-09-07 00:29:32
1988,1971,0,0,2025-09-07 00:29:32
1993,1969,0,0,2025-09-07 00:29:32
1994,1972,0,0,2025-09-07 00:29:32
1995,1971,0,0,2025-09-07 00:29:32
1999,1971,0,0,2025-09-07 00:29:32
2003,1974,0,0,2025-09-07 00:29:32
2011,1973,0,0,2025-09-07 00:29:32
2012,1975,0,0,2025-09-07 00:29:32
2016,1977,0,0,2025-09-07 00:29:32
2026,1976,0,0,2025-09-07 00:29:32
2025,1976,0,0,2025-09-07 00:29:32
2026,1978,0,0,2025-09-07 00:29:32
2033,1980,0,0,2025-09-07 00:29:32
2033,1981,0,0,2025-09-07 00:29:32
2043,1975,0,0,2025-09-07 00:29:32
2038,1976,0,0,2025-09-07 00:29:32
2040,1977,0,0,2025-09-07 00:29:32
2052,1974,0,0,2025-09-07 00:29:32
2044,1974,0,0,2025-09-07 00:29:32
2050,1971,0,0,2025-09-07 00:29:32
2047,1970,0,0,2025-09-07 00:29:32
2048,1971,0,0,2025-09-07 00:29:32
2054,1974,0,0,2025-09-07 00:29:32
2049,1968,0,0,2025-09-07 00:29:32
2055,1968,0,0,2025-09-07 00:29:32
2059,1963,0,0,2025-09-07 00:29:32
2052,1964,0,0,2025-09-07 00:29:32
2056,1970,0,0,2025-09-07 00:29:32
2053,1965,0,0,2025-09-07 00:29:32
2052,1968,0,0,2025-09-07 00:29:32
2058,1974,0,0,2025-09-07 00:29:32
2053,1970,0,0,2025-09-07 00:29:32
2056,1972,0,0,2025-09-07 00:29:32
2053,1973,0,0,2025-09-07 00:29:32
2059,1977,0,0,2025-09-07 00:29:32
2053,1980,0,0,2025-09-07 00:29:32
2060,1979,0,0,2025-09-07 00:29:32
2056,1976,0,0,2025-09-07 00:29:32
2060,1983,0,0,2025-09-07 00:29:32
2058,1979,0,0,2025-09-07 00:29:32
2065,1979,0,0,2025-09-07 00:29:32
2059,1985,0,0,2025-09-07 00:29:32
2059,1986,0,0,2025-09-07 00:29:32
2055,1983,0,0,2025-09-07 00:29:32
2057,1992,0,0,2025-09-07 00:29:32
2036,2018,0,0,2025-09-07 00:29:33
2032,2020,0,0,2025-09-07 00:29:33
2038,2027,0,0,2025-09-07 00:29:33
2033,2025,0,0,2025-09-07 00:29:33
2036,2024,0,0,2025-09-07 00:29:33
2036,2028,0,0,2025-09-07 00:29:33
2032,2033,0,0,2025-09-07 00:29:33
2036,2037,0,0,2025-09-07 00:29:33
2035,2034,0,0,2025-09-07 00:29:33
2038,2038,0,0,2025-09-07 00:29:33
2037,2042,0,0,2025-09-07 00:29:33
2035,2042,0,0,2025-09-07 00:29:33
2040,2040,0,0,2025-09-07 00:29:33
2040,2044,0,0,2025-09-07 00:29:33
2039,2047,0,0,2025-09-07 00:29:33
2042,2052,0,0,2025-09-07 00:29:33
2040,2050,0,0,2025-09-07 00:29:33
2047,2054,0,0,2025-09-07 00:29:33
2043,2057,0,0,2025-09-07 00:29:33
2040,2059,0,0,2025-09-07 00:29:33
2044,2066,0,0,2025-09-07 00:29:33
2041,2065,0,0,2025-09-07 00:29:33
2037,2066,0,0,2025-09-07 00:29:33
2042,2071,0,0,2025-09-07 00:29:33
